id,name,is_closed,review_count,zip_code,rating
0zY166hVI5Z5SqcPL3tfIA,Equinox Dumbo,False,21,11201,3.5
mut-NtsrMsR_B9fXBeUy3w,Eastern Athletic Clubs,False,61,11201,3.0
ZSobgYXCWpXjsthPOiVfzA,Blink Fitness - Park Slope,False,62,11215,3.0
rFc5Zv2igHfb5Rck2-Do0w,Sage Fitness Studios,False,54,11105,5.0
DUi6SUAK7WXSySrUbgPl_g,brickhaüs hk,False,2,10036,5.0
WxoLYQUrDPE_dV4tAbpt-w,CKO Kickboxing Clinton Hill,False,29,11205,4.5
b326Oh3vpr48e4fSS-nROg,CrossFit 718,False,14,11232,5.0
T3DTi5dMAYh1jlbswPY4iQ,Blink Fitness - Williamsburg,False,77,11211,3.0
9_Umx8fGKAH8CGp9CaOe5w,Ridgewood YMCA,False,33,11385,4.0
DGb3-c824MTNEqFaTSbTlA,New York Sports Clubs,False,128,11209,2.0
8OHSvgCMyf2-MWVyLHnrgA,JDI Barbell,False,19,11101,5.0
gZLf6Nw-nzGkhYNGTrmOng,Orangetheory Fitness Williamsburg,False,27,11249,4.0
wk_-8dVqL4wzUQByywAU-g,Add-Mo Fitness!,False,1,11205,5.0
YMceMR-Hk_Vq5vbUGoetrQ,Chelsea Piers Fitness,False,178,10011,4.5
bMbsXB7YlZcXM0KbeBgQ3Q,World Gym,False,27,11385,2.5
Nv_FGjrROj3RdCwYrIV_MQ,Blink Fitness - Boerum Hill,False,73,11201,3.0
tN8GSwr29yDI31Jy-MZvnA,Greenpoint Branch YMCA,False,63,11222,3.5
VPQRvMRj4MXMpiWvwevGqA,Flywheel Sports Williamsburg,False,21,11211,4.5
8ar7msN8FO2sKiZDpH82nQ,LIU Brooklyn WRAC Center Gym,False,1,11201,4.0
rZx8hDCyBkceLpnTGBddCQ,Sphinx Fitness,False,4,11224,5.0
xP44PIPaK5eJIJO0Vg3bgQ,The Fit Life With Dawn,False,1,11223,5.0
x2DjOIqDdZNOYSmMUx5FlA,Drive495,False,18,10012,4.5
bV-vJqQ7RXqMMYR5u8r9dQ,WeStrong Strength and Conditioning,False,11,07302,5.0
2wSTGgEE55hxFM_we_YaMA,Rockway YMCA at Arverne by the Sea,False,37,11692,3.5
y7VrHbIefIIdzQcxAktNqw,Form Fitness,False,1,11201,5.0
tAEY5z1dWCbWtS8ep_55ow,CrossFit South Brooklyn,False,55,11217,5.0
30Oo0yftYq_Bn-FmiX7ekA,IronBorn Crossfit,False,2,11212,5.0
68kLlsxRfOU6NVZ7YO7ggw,Poseidon Athletics,False,12,11101,5.0
xChemndh4IiTimutQfyeQQ,Urban Jungle,False,59,11377,5.0
OjYwXGEs-eSak2xug9WPfA,SLT Cobble Hill,False,3,11231,4.5
fz8WsXGWKeszgoBNWrw18A,Planet Fitness,False,32,11229,2.0
bXTUKe_dyU4BeaRC3IeFiQ,Lucille Roberts- Kings Highway,False,62,11223,2.5
5H0GEdKKcPpmrPm9R5uxkA,Push Fitness Club of College Point,False,126,11356,3.5
hd8zSpWlNBHyklwjRSv7GA,Form50 Fitness,False,58,11106,5.0
soMcUD7js0OGhHY7trUyvw,Prospect Gymnastics,False,14,11218,4.0
8SXbYCOU_pQM1E1sWfn2cg,OPTraining,False,6,07302,5.0
9DgaWe46u49LlRz7HQIZlQ,WillyB CrossFit,False,41,11206,3.5
tNlH2NzfckqmrKoNqaPmuA,Wealth Fitness,False,2,11201,4.5
ift5M7lYnqJ4DgHqhnkrBA,Hollywood Health Club,False,1,11561,5.0
_pJl1AaP1LUBzxHw5RE_9g,Powerhouse Gym,False,14,11101,3.5
UR4cr_OXx5wl-I6hNqr_SA,WillyB CrossFit - Bowery,False,56,10002,4.5
2vN5p0SoqDGPcUCM-79nsg,Liftonic,False,90,10014,5.0
DRBs4pc-b3MbZeUuliLnqw,Crunch Fitness - South Slope,False,40,11215,3.0
ETe0NwIXmuN6VUIgMaJX1w,Flatbush Branch YMCA,False,11,11210,3.5
4gjUqXlho2a831mZYoW9mg,SLT Williamsburg,False,5,11249,4.0
ufT76U3UZz9ykIx_OnbmLA,Hebrew Educational Society,False,4,11236,3.5
HDTrv1gXoOOeMvQ04ehzRA,Ironbound Performance Athletics,False,18,07302,5.0
